transaction_id,card_id,timestamp,amount,merchant_id,merchant_name,category,city,lat,lon,is_home_city,is_night,income_tier,is_fraud,fraud_type
TXN_000390,CARD_0031,2024-01-01 02:57:09,42.5,MERCH_0016,Healthcare_Store_2,Healthcare,Chicago,41.8781,-87.6298,1,1,low,0,
TXN_000736,CARD_0004,2024-01-01 03:38:35,18.13,MERCH_0073,Online_Shopping_Store_2,Online Shopping,Seattle,47.6062,-122.3321,1,1,low,0,
TXN_000163,CARD_0028,2024-01-01 06:45:28,32.02,MERCH_0171,Grocery_Store_43,Grocery,Dallas,32.7767,-96.797,1,0,low,0,
TXN_000450,CARD_0044,2024-01-01 17:48:53,359.37,MERCH_0129,Entertainment_Store_38,Entertainment,Phoenix,33.4484,-112.074,0,0,premium,0,
TXN_000830,CARD_0010,2024-01-01 18:33:05,63.19,MERCH_0166,Healthcare_Store_46,Healthcare,Phoenix,33.4484,-112.074,1,0,mid,0,
TXN_000553,CARD_0013,2024-01-01 23:37:40,0.01,MERCH_0031,Dining_Store_34,Dining,Dallas,32.7767,-96.797,1,1,low,0,
TXN_000268,CARD_0049,2024-01-02 03:34:41,109.25,MERCH_0130,Entertainment_Store_30,Entertainment,New York,40.7128,-74.006,1,1,mid,0,
TXN_000270,CARD_0002,2024-01-02 04:33:55,61.41,MERCH_0005,Grocery_Store_33,Grocery,Austin,30.2672,-97.7431,1,1,mid,0,
TXN_000434,CARD_0007,2024-01-02 07:44:29,1109.69,MERCH_0156,Entertainment_Store_19,Entertainment,San Antonio,29.4241,-98.4936,1,0,premium,0,
TXN_000233,CARD_0037,2024-01-03 01:24:08,40.12,MERCH_0041,Online_Shopping_Store_26,Online Shopping,Los Angeles,34.0522,-118.2437,1,1,high,0,
TXN_000473,CARD_0004,2024-01-03 02:18:20,11.58,MERCH_0043,Utilities_Store_5,Utilities,Austin,30.2672,-97.7431,0,1,low,0,
TXN_000869,CARD_0012,2024-01-03 07:14:05,62.8,MERCH_0022,Travel_Store_8,Travel,San Antonio,29.4241,-98.4936,1,0,high,0,
TXN_000347,CARD_0005,2024-01-03 11:35:15,24.85,MERCH_0130,Grocery_Store_19,Grocery,Houston,29.7604,-95.3698,1,0,low,0,
TXN_000094,CARD_0026,2024-01-03 12:07:42,12.7,MERCH_0098,Retail_Store_41,Retail,New York,40.7128,-74.006,1,0,low,0,
TXN_000923,CARD_0008,2024-01-03 12:58:35,0.01,MERCH_0053,Entertainment_Store_13,Entertainment,Dallas,32.7767,-96.797,0,0,mid,0,
TXN_000804,CARD_0018,2024-01-03 14:39:23,50.35,MERCH_0084,Travel_Store_28,Travel,Chicago,41.8781,-87.6298,1,0,low,0,
TXN_000076,CARD_0030,2024-01-03 18:18:05,294.85,MERCH_0087,Education_Store_40,Education,Los Angeles,34.0522,-118.2437,1,0,high,0,
TXN_000788,CARD_0011,2024-01-03 19:31:22,62.16,MERCH_0023,Travel_Store_46,Travel,Austin,30.2672,-97.7431,1,0,mid,0,
TXN_000514,CARD_0021,2024-01-04 00:58:08,21.68,MERCH_0150,Retail_Store_3,Retail,Philadelphia,39.9526,-75.1652,1,1,low,0,
TXN_000160,CARD_0006,2024-01-04 10:05:48,73.48,MERCH_0199,Education_Store_19,Education,Seattle,47.6062,-122.3321,0,0,mid,0,
TXN_000608,CARD_0021,2024-01-04 11:47:17,53.2,MERCH_0033,Travel_Store_46,Travel,Philadelphia,39.9526,-75.1652,1,0,low,0,
TXN_000588,CARD_0023,2024-01-04 13:41:19,787.27,MERCH_0167,Grocery_Store_35,Grocery,Houston,29.7604,-95.3698,0,0,premium,0,
TXN_000241,CARD_0047,2024-01-04 22:02:54,67.9,MERCH_0089,Dining_Store_45,Dining,Chicago,41.8781,-87.6298,1,1,mid,0,
TXN_000542,CARD_0027,2024-01-05 00:58:00,124.6,MERCH_0147,Utilities_Store_10,Utilities,Phoenix,33.4484,-112.074,1,1,mid,0,
TXN_000512,CARD_0010,2024-01-05 06:36:45,65.42,MERCH_0143,Dining_Store_5,Dining,Phoenix,33.4484,-112.074,1,0,mid,0,
TXN_000364,CARD_0027,2024-01-05 07:17:32,6.2,MERCH_0001,Travel_Store_49,Travel,Phoenix,33.4484,-112.074,1,0,mid,0,
TXN_000493,CARD_0007,2024-01-05 13:10:32,0.01,MERCH_0069,Online_Shopping_Store_49,Online Shopping,San Antonio,29.4241,-98.4936,1,0,premium,0,
TXN_000033,CARD_0038,2024-01-05 14:55:50,0.01,MERCH_0102,Retail_Store_46,Retail,Seattle,47.6062,-122.3321,1,0,premium,0,
TXN_000407,CARD_0007,2024-01-05 15:10:41,606.91,MERCH_0122,Online_Shopping_Store_8,Online Shopping,San Antonio,29.4241,-98.4936,1,0,premium,0,
TXN_000671,CARD_0012,2024-01-05 17:10:34,42.2,MERCH_0157,Travel_Store_15,Travel,Seattle,47.6062,-122.3321,0,0,high,0,
TXN_000026,CARD_0035,2024-01-05 20:29:42,483.29,MERCH_0022,Retail_Store_42,Retail,Phoenix,33.4484,-112.074,1,0,low,1,AMOUNT_SPIKE
TXN_000158,CARD_0015,2024-01-06 01:46:12,146.03,MERCH_0010,Dining_Store_19,Dining,Chicago,41.8781,-87.6298,1,1,mid,0,
TXN_000719,CARD_0009,2024-01-06 05:14:54,176.7,MERCH_0046,Utilities_Store_46,Utilities,San Antonio,29.4241,-98.4936,1,1,high,0,
TXN_000025,CARD_0032,2024-01-06 05:23:13,51.79,MERCH_0033,Retail_Store_40,Retail,Austin,30.2672,-97.7431,1,1,high,0,
TXN_000308,CARD_0026,2024-01-06 06:06:38,23.0,MERCH_0055,Retail_Store_14,Retail,New York,40.7128,-74.006,1,0,low,0,
TXN_000213,CARD_0016,2024-01-06 16:23:04,40.23,MERCH_0106,Grocery_Store_45,Grocery,Chicago,41.8781,-87.6298,1,0,low,0,
TXN_000274,CARD_0049,2024-01-06 16:52:37,31.74,MERCH_0044,Retail_Store_6,Retail,New York,40.7128,-74.006,1,0,mid,0,
TXN_000563,CARD_0013,2024-01-07 01:11:32,8.73,MERCH_0158,Grocery_Store_11,Grocery,Dallas,32.7767,-96.797,1,1,low,0,
TXN_000380,CARD_0010,2024-01-07 05:41:08,43.24,MERCH_0123,Travel_Store_4,Travel,Phoenix,33.4484,-112.074,1,1,mid,0,
